Source.Category.Code,Source.category.name,Source.subcategory,Source.subcategory.name,Agency.code,Agency.name,Bureau.code,Bureau.name,Account.code,Account.name,Treasury.Agency.code,On..or.off.budget,FY,amount
931,Individual Income Taxes,00,Individual Income Taxes,009,Department of Health and Human Services,00,Department of Health and Human Services,800415,"Supplemental Catastrophic Premium, Refunds, FSMI",20,On-budget,1962,0
931,Individual Income Taxes,00,Individual Income Taxes,009,Department of Health and Human Services,00,Department of Health and Human Services,818210,FHICCR supplemental catastrophic premium,20,On-budget,1962,0
931,Individual Income Taxes,00,Individual Income Taxes,015,Department of the Treasury,00,Department of the Treasury,551010,Private Collection Agent Program,20,On-budget,1962,0
931,Individual Income Taxes,00,Individual Income Taxes,901,Governmental Receipts,00,Governmental Receipts,011050,Individual Income Taxes,99,On-budget,1962,45571090
931,Individual Income Taxes,00,Individual Income Taxes,901,Governmental Receipts,00,Governmental Receipts,508110,Presidential Election Campaign Fund,20,On-budget,1962,0
932,Corporation Income Taxes,00,Corporation Income Taxes,020,Environmental Protection Agency,00,Environmental Protection Agency,814515,"Corporation Income Taxes, Hazardous Substance Superfund",68,On-budget,1962,0
932,Corporation Income Taxes,05,Corporation Income Taxes,901,Governmental Receipts,00,Governmental Receipts,011100,Corporation Income and Excess Profits Taxes,99,On-budget,1962,20522658
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800500,"FHI Trust Fund, Receipts",20,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800501,"FHI Trust Fund, Transfers from General Fund (FICA Taxes)",75,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800510,"FHI Trust Fund, Receipts from Railroad Retirement Board",75,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800511,"FHI Trust Fund, Transfers from General Fund (SECA Taxes)",75,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800515,"FHI Trust Fund, Refunds",20,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800530,"FHI Trust Fund, Deposits by States",20,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800600,FOASI Trust Fund Receipts,20,Off-budget,1962,11266775
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800610,"FOASI, Transfers from General Fund (FICA Taxes)",28,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800611,"FOASI, Transfers from General Fund (SECA Taxes)",28,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800615,"FOASI, Refunds",20,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800630,"FOASI, Deposits by States",20,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800700,"FDI Trust Fund, Receipts",20,Off-budget,1962,1003834
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800701,"FDI, Transfers from General Fund (FICA Taxes)",28,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800711,"FDI, Transfers from General Fund (SECA Taxes)",28,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800715,"FDI, Refunds",20,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800730,"FDI, Deposits by States",20,Off-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801015,"Refunds, Railroad Social Security Equivalent Benefit Account",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801020,"Railroad Social Security Equivalent Benefit Account, Taxes",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801021,"Railroad Social Security Equivalent Benefit Account, Receipts Transferred to Federal Hospital Insurance Trust Fund",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801100,"Rail Industry Pension Fund, Receipts",60,On-budget,1962,564264
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801115,"Refunds, Rail Industry Pension Fund",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801120,"Taxes, Rail Industry Pension Fund",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801121,"Receipts Transferred to Federal Hospital Insurance Trust Fund, Rail Industry Pension Fund",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801215,"Refunds, Supplemental Annuity Pension Fund",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801220,"Supplemental Annuity Taxes, Supplemental Annuity Pension Fund",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,012100,Federal Unemployment Tax Act Taxes,20,On-budget,1962,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804200,"Unemployment Trust Fund, Receipts",20,On-budget,1962,3336514
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804201,"General Taxes, FUTA, Unemployment Trust Fund",16,On-budget,1962,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804230,"Unemployment Trust Fund, State Accounts, Deposits by States",16,On-budget,1962,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804250,"Unemployment Trust Fund, Deposits by Railroad Retirement Board",16,On-budget,1962,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,446,Railroad Retirement Board,00,Railroad Retirement Board,801196,"Railroad Unemployment Insurance Debt Repayment Taxes, Rail Industry Pension Fund",60,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,001,Legislative Branch,40,United States Tax Court,811510,"Tax Court Judges Survivors Annuity, Deductions from Employees Salaries",23,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,002,Judicial Branch,00,Judicial Branch,811010,"Judicial Survivors Annuity, Deductions from Employees Salaries",10,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,002,Judicial Branch,00,Judicial Branch,812210,"Deductions from Employee Salaries and Voluntary Contributions, Judicial Officers' Annuity",10,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,014,Department of State,00,Department of State,818610,"Deductions from Employees Salaries, Foreign Service Retirement and Disability Fund",19,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,014,Department of State,00,Department of State,818630,"Voluntary contributions, donations, service credit payments, etc., Foreign Service retirement and disability fund",19,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,027,Office of Personnel Management,00,Office of Personnel Management,813510,"Employee Contributions, Civil Service Retirement and Disability Fund",24,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,027,Office of Personnel Management,00,Office of Personnel Management,813521,"District of Columbia Contributions, Civil Service Retirement and Disability Fund",24,On-budget,1962,12454
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,027,Office of Personnel Management,00,Office of Personnel Management,813530,"Employee Deposits, Redeposits and Other Contributions, Civil Service Retirement and Disability Fund",24,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,200,Other Defense Civil Programs,20,Armed Forces Retirement Home,852210,"Deductions, Armed Forces Retirement Home",97,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,345,United States Court of Appeals for Veterans Claims,00,United States Court of Appeals for Veterans Claims,829010,"Employees Contributions, Court of Veterans Appeals Retirement Fund, LVE",95,On-budget,1962,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,349,District of Columbia,10,District of Columbia Courts,821210,"Deductions from Employees Salaries, District of Columbia Judicial Retirement and Survivors Annuity Fund",20,On-budget,1962,0
